,Unemployment Change
0,9.1
1,12.9
2,6.6
3,14.8
4,7.1
5,6.1
6,16.5
7,15.1
8,12.9
9,9.6
10,9.7
11,8.2
12,10.3
13,6.6
14,9.6
15,6.8
16,13.4
17,11.0
18,10.2
19,7.3
20,13.0
21,9.4
22,6.7
23,16.2
24,9.1
25,8.8
26,8.5
27,16.1
28,8.2
29,8.9
30,5.5
31,17.0
32,17.2
33,6.0
34,8.3
35,10.3
36,10.1
37,8.8
38,11.9
39,8.9
40,10.1
41,9.2
42,20.8
43,15.2
44,8.2
45,8.9
46,8.0
47,8.7
48,11.8
49,11.4
50,12.3
51,8.9
52,16.4
53,11.1
54,6.3
55,9.8
56,8.1
57,10.7
58,7.3
59,9.3
60,16.8
61,13.7
62,14.3
63,10.1
64,8.7
65,17.3
66,7.3
67,6.7
68,5.4
69,12.4
70,6.4
71,3.2
72,1.6
73,2.5
74,8.6
75,13.8
76,7.2
77,8.6
78,7.3
79,9.1
80,9.8
81,8.7
82,2.5
83,7.7
84,7.3
85,5.9
86,8.1
87,6.9
88,3.2
89,8.1
90,7.3
91,5.8
92,4.6
93,12.1
94,5.3
95,5.9
96,7.2
97,6.8
98,6.6
99,10.2
100,6.7
101,5.6
102,5.6
103,6.1
104,8.3
105,6.0
106,4.0
107,12.6
108,5.8
109,7.8
110,5.0
111,7.6
112,5.5
113,8.6
114,8.7
115,4.9
116,5.6
117,7.3
118,6.8
119,6.1
120,6.4
121,5.2
122,6.8
123,8.8
124,6.8
125,3.7
126,5.6
127,9.9
128,9.1
129,5.1
130,6.5
131,5.3
132,6.1
133,4.8
134,6.0
135,8.9
136,5.8
137,5.1
138,7.1
139,6.1
140,3.9
141,8.9
142,6.5
143,7.0
144,6.7
145,3.6
146,7.1
147,8.3
148,4.0
149,7.4
150,7.7
151,7.3
152,7.3
153,6.3
154,6.0
155,3.1
156,4.1
157,11.3
158,17.7
159,10.7
160,10.5
161,9.6
162,11.8
163,11.7
164,7.8
165,11.9
166,9.3
167,9.6
168,10.3
169,12.4
170,10.3
171,10.5
172,8.7
173,11.7
174,6.5
175,16.3
176,9.3
177,9.1
178,13.4
179,10.6
180,10.0
181,6.0
182,25.2
183,13.4
184,13.4
185,12.0
186,11.3
187,10.1
188,11.1
189,11.9
190,11.1
191,13.7
192,10.1
193,12.1
194,10.6
195,12.0
196,11.4
197,9.6
198,10.5
199,9.4
200,11.7
201,10.9
202,8.2
203,8.5
204,11.6
205,12.0
206,11.3
207,9.8
208,8.7
209,6.8
210,9.4
211,12.7
212,10.8
213,7.7
214,9.9
215,9.7
216,6.0
217,9.7
218,13.1
219,1.3
220,2.2
221,7.3
222,8.6
223,10.9
224,0.7
225,13.6
226,4.8
227,3.9
228,2.5
229,4.6
230,7.0
231,10.7
232,9.8
233,7.7
234,18.9
235,5.4
236,9.2
237,8.5
238,11.1
239,20.9
240,17.3
241,13.9
242,5.7
243,6.7
244,5.2
245,9.5
246,1.0
247,2.6
248,15.2
249,11.1
250,8.7
251,6.9
252,4.0
253,4.8
254,9.3
255,7.9
256,6.8
257,7.7
258,9.1
259,4.3
260,3.8
261,15.8
262,7.4
263,2.2
264,21.2
265,2.6
266,7.6
267,3.7
268,7.0
269,15.9
270,3.6
271,10.2
272,20.4
273,2.1
274,20.0
275,12.0
276,1.9
277,7.4
278,1.7
279,4.8
280,4.3
281,4.3
282,4.1
283,4.4
284,9.0
285,3.7
286,4.6
287,12.1
288,10.8
289,12.2
290,6.0
291,6.1
292,4.3
293,9.3
294,5.1
295,9.8
296,12.1
297,3.6
298,11.3
299,10.4
300,7.0
301,10.7
302,6.3
303,3.9
304,3.7
305,8.5
306,9.7
307,11.7
308,7.1
309,3.8
310,4.5
311,3.4
312,3.9
313,5.6
314,3.0
315,5.6
316,10.9
317,6.5
318,9.4
319,5.2
320,10.5
321,4.3
322,4.3
323,1.8
324,12.0
325,11.7
326,5.7
327,7.1
328,3.1
329,4.0
330,10.6
331,8.4
332,8.9
333,9.3
334,15.8
335,9.3
336,10.8
337,4.3
338,14.5
339,18.5
340,11.2
341,10.5
342,11.3
343,10.6
344,6.7
345,9.1
346,10.5
347,7.8
348,11.9
349,10.4
350,7.9
351,5.1
352,4.5
353,4.1
354,11.4
355,5.0
356,11.8
357,6.6
358,3.7
359,4.9
360,4.7
361,3.7
362,6.7
363,6.4
364,9.0
365,11.5
366,6.3
367,10.4
368,8.4
369,4.9
370,7.8
371,4.5
372,9.8
373,7.9
374,5.7
375,8.3
376,2.5
377,6.2
378,4.1
379,9.6
380,6.6
381,2.2
382,13.5
383,6.4
384,13.0
385,8.5
386,9.0
387,11.3
388,12.1
389,3.9
390,8.7
391,6.1
392,4.5
393,5.8
394,4.8
395,10.3
396,6.2
397,6.0
398,4.6
399,9.1
400,3.5
401,10.1
402,3.9
403,11.3
404,8.5
405,9.4
406,2.1
407,3.5
408,9.1
409,9.1
410,4.8
411,4.8
412,6.2
413,7.5
414,10.0
415,7.8
416,8.1
417,10.6
418,7.6
419,3.2
420,14.6
421,9.5
422,5.3
423,6.7
424,9.7
425,7.6
426,8.1
427,6.8
428,9.1
429,7.4
430,7.1
431,11.4
432,10.1
433,7.0
434,4.5
435,8.2
436,6.4
437,4.4
438,5.3
439,4.2
440,4.1
441,5.3
442,7.0
443,6.1
444,7.4
445,6.6
446,7.5
447,5.5
448,4.1
449,7.2
450,8.0
451,9.3
452,8.5
453,4.8
454,7.8
455,4.0
456,11.6
457,2.7
458,4.4
459,6.3
460,3.8
461,8.7
462,15.1
463,9.2
464,8.9
465,6.4
466,7.2
467,8.4
468,7.3
469,7.7
470,5.0
471,7.1
472,8.6
473,3.6
474,7.8
475,0.1
476,8.9
477,2.6
478,8.2
479,9.2
480,2.3
481,8.6
482,3.1
483,8.9
484,8.2
485,3.1
486,5.1
487,7.9
488,5.7
489,2.8
490,6.9
491,3.5
492,4.6
493,6.7
494,5.9
495,7.4
496,9.8
497,6.0
498,12.2
499,6.9
500,6.8
501,6.3
502,8.9
503,7.0
504,9.2
505,7.0
506,6.5
507,5.3
508,6.7
509,1.6
510,3.5
511,8.0
512,15.9
513,3.0
514,4.4
515,3.6
516,5.7
517,9.8
518,11.1
519,7.7
520,5.2
521,8.6
522,4.0
523,19.2
524,11.2
525,12.4
526,6.0
527,6.3
528,3.1
529,10.0
530,9.5
531,3.8
532,4.8
533,2.5
534,7.4
535,4.9
536,6.5
537,5.7
538,4.7
539,8.7
540,4.3
541,7.6
542,4.2
543,5.1
544,13.4
545,6.8
546,6.4
547,8.2
548,9.1
549,3.0
550,4.6
551,9.1
552,4.6
553,7.7
554,6.3
555,3.4
556,13.7
557,13.8
558,8.7
559,16.9
560,5.1
561,9.0
562,10.4
563,9.1
564,18.9
565,6.2
566,9.6
567,12.8
568,12.9
569,6.6
570,7.6
571,9.9
572,16.9
573,19.7
574,11.0
575,8.8
576,14.4
577,12.2
578,7.4
579,11.5
580,7.6
581,7.4
582,11.9
583,12.2
584,18.7
585,11.0
586,9.9
587,8.0
588,18.9
589,11.4
590,10.6
591,7.9
592,12.5
593,13.9
594,11.0
595,8.8
596,11.4
597,11.0
598,7.2
599,10.9
600,7.0
601,22.9
602,11.4
603,13.9
604,11.5
605,12.9
606,11.3
607,13.2
608,10.2
609,11.0
610,13.6
611,19.6
612,9.3
613,8.5
614,8.0
615,8.0
616,13.1
617,9.8
618,11.2
619,10.1
620,11.3
621,18.6
622,10.4
623,8.8
624,16.3
625,9.1
626,11.3
627,9.9
628,11.7
629,7.7
630,5.2
631,11.0
632,14.8
633,16.8
634,6.6
635,7.4
636,9.6
637,13.2
638,12.0
639,12.9
640,11.9
641,13.4
642,12.1
643,13.6
644,10.8
645,8.1
646,6.7
647,8.1
648,7.8
649,9.2
650,13.7
651,9.1
652,12.7
653,20.9
654,6.7
655,15.3
656,14.7
657,14.1
658,12.4
659,13.7
660,15.6
661,17.5
662,9.4
663,18.0
664,17.3
665,15.2
666,8.4
667,18.7
668,7.1
669,13.6
670,12.4
671,13.6
672,15.4
673,11.1
674,11.2
675,12.9
676,6.3
677,15.3
678,21.8
679,19.1
680,13.1
681,8.6
682,26.1
683,21.4
684,13.9
685,15.3
686,15.0
687,14.7
688,16.7
689,11.7
690,9.4
691,8.0
692,11.7
693,13.8
694,8.4
695,14.3
696,26.9
697,16.8
698,19.7
699,13.0
700,17.3
701,19.1
702,20.0
703,11.3
704,13.6
705,16.3
